#;Date;Heure;Durée de trade ;Bot;Score;Symbol;Direction;Entry_Prix;Exit_Prix;PnL_Net;Exit_Raison;Notes;Notes 2;Total PnL;PNL Long;PNL Short;Total Long;Total Short;;;
1;29/12/2025;16:12;1h;DEGEN;88;SQDUSDT;LONG;0,08117;0,08144;0,0693;BE;Mis a BE après 1R;Serait allé au TP;7,6752;20,885;-13,20979;90;147;;;
2;29/12/2025;22:42;7h;DISCOVERY;80;GMTUSDT;LONG;0,01635;0,01765;1,5906;TP;TP Unique touché;;;;;;;;;
3;30/12/2025;02:40;3h;DEGEN;82;ENAUSDT;LONG;0,2113;0,2082;-0,4589;SL;;;Total TP;Total SL;Total BE;Serait TP;Serait SL;;;
4;30/12/2025;04:07;6h;TOP 30;97,4;TONUSDT;SHORT;1,6646;1,6224;0,9582;TP;TP Unique touché;;85;101;49;5;4;;;
5;30/12/2025;07:47;10h;TOP 30;92,9;FILUSDT;SHORT;1,368;1,3212;1,3014;TP;TP Unique touché;;;;;;;;;
6;30/12/2025;14:25;16h;SWING;64;SEIUSDT;LONG;0,1169;0,11233;-1,1841;SL;;;;SWING;TOP 30;DISCO;DEGEN;;;
7;30/12/2025;15:08;3h;DISCOVERY;80;CYSUSDT;LONG;0,37252;0,37303;0,0022;BE;Mis a BE après 1R;Serait allé au SL;Total;26;48;87;75;;;
8;30/12/2025;15:42;1h;DEGEN;80;0GUSDT;SHORT;0,9573;0,9764;-0,5964;SL;;;Total TP;11;17;34;23;;;
9;30/12/2025;19:16;10h;DEGEN;88;XPLUSDT;SHORT;0,1553;0,1545;0,0484;BE;Mis a BE après dépassement de la durée limite;Serait allé au TP;Total SL;11;25;30;34;;;
10;30/12/2025;19:36;9h;DISCOVERY;80;ZENUSDT;SHORT;9,137;9,11;0,0542;BE;Mis a BE après dépassement de la durée limite;Serait allé au TP;Total BE;4;6;22;17;;;
11;30/12/2025;21:18;2h;DISCOVERY;90;PIEVERSEUSDT;LONG;0,63235;0,599;-1,0498;SL;;;PnL;2,047;-6,85268;12,4318;0,52639;;;
12;30/12/2025;22:20;1d;DISCOVERY;90;MONUSDT;SHORT;0,02193;0,02185;0,0621;BE;Mis a BE après 1R;Serait allé au SL;LONG;16;6;41;27;;;
13;31/12/2025;00:05;3h;DEGEN;88;AVNTUSDT;LONG;0,39231;0,38975;-0,189;Time Limit;Stop after time limit;;SHORT;10;42;46;48;;;
14;31/12/2025;00:05;12h;DISCOVERY;80;ZECUSDT;LONG;541,01;534,92;-0,3564;Time Limit;Stop after time limit;;PnL LONG;2,8801;-0,2731;15,8242;2,4538;;;
15;31/12/2025;00:20;9h;DISCOVERY;90;ACTUSDT;SHORT;0,4074;0,4051;-0,0082;BE;Mis a BE après dépassement de la durée limite;;PnL SHORT;-0,8331;-6,5796;-3,3924;-1,9274;;;
16;31/12/2025;00:47;2h;DEGEN;80;PIEVERSEUSDT;SHORT;0,60318;0,60280;-0,0036;BE;Mis a BE après dépassement de la durée limite;;;;;;;;;
17;31/12/2025;08:17;7h;DISCOVERY;80;AVNTUSDT;LONG;0,39353;0,37369;-1,4524;SL;;;;;;;;;;
18;31/12/2025;09:18;9h;DEGEN;88;ZECUSDT;SHORT;531,97;530,35;0,0524;BE;Mis a BE après dépassement de la durée limite;Serait allé au TP;;;;;;;;
19;31/12/2025;09:31;30m;DEGEN;88;HUSDT;LONG;0,18157;0,18747;0,6132;TP;TP Unique touché;;;;;;;;;
20;31/12/2025;12:00;1h;DEGEN;88;POLYXUSDT;LONG;0,06088;0,060895;-0,0016;BE;Mis a BE après 1R;Serait allé au SL;;;;;;;;
21;31/12/2025;16:01;1h;DEGEN;80;PIEVERSEUSDT;SHORT;0,62793;0,63776;-0,4845;SL;;;;;;;;;;
22;31/12/2025;17:18;3h;DEGEN;88;NIGHTUSDT;SHORT;0,08706;0,08621;0,4825;BE;TP1 Touché;Serait allé au SL;;;;;;;;
23;31/12/2025;17:38;20m;DEGEN;88;NIGHTUSDT;SHORT;0,08627;0,08869;-0,08661;SL;;;;;;;;;;
24;31/12/2025;18:49;2h;DEGEN;80;HUSDT;SHORT;0,18211;0,17971;0,3662;BE;TP1 Touché;;;;;;;;;
25;31/12/2025;19:03;18h;DISCOVERY;80;PIPPINUSDT;SHORT;0,41013;0,38582;0,9133;TP;TP Unique touché;Serait allé au TP;;;;;;;;
26;31/12/2025;21:48;6m;DEGEN;80;SQDUSDT;SHORT;0,09446;0,09778;-0,7101;SL;;;;;;;;;;
27;31/12/2025;23:35;3h;DEGEN;88;HUSDT;SHORT;0,17552;0,17097;0,7424;TP;TP1 & TP2 Touchés;;;;;;;;;
