#;Date E;Heure E;Date S;Heure S;Durée de trade ;Bot;Score;Symbol;Direction;Entry_Prix;Exit_Prix;PnL_Net;Exit_Raison;Notes;Notes 2;Total PnL;PNL Long;PNL Short;Total Long;Total Short;PnL TPDe;PnL SLDe;PnL BE
1;13/01/2026;17:15;13/01/2026;21:44;4h 29m;DEGEN;82;KAITOUSDT;LONG;;;0,41;TP;TP1 & TP2 Touchés;;-7,9292;-9,2179;1,2887;58;84;5,0982;-1,7313;1,5839
2;13/01/2026;21:30;13/01/2026;22:37;1h 7m;DEGEN;82;VVVUSDT;LONG;;;-0,8364;SL;;;;;;;;;;
4;14/01/2026;10:07;14/01/2026;10:25;0h 18m;DEGEN;82;BUSDT;LONG;;;0,8554;TP;TP1 & TP2 Touchés;;44;54;25;12;7;0;0;
5;14/01/2026;11:02;14/01/2026;11:36;0h 34m;DEGEN;82;XMRUSDT;LONG;;;0,4766;TP;TP1 & TP2 Touchés;;;;;;;;;
6;14/01/2026;12:01;14/01/2026;12:42;0h 41m;DEGEN;82;FARTCOINUSDT;LONG;;;-0,6206;SL;;;;SWING;MAJORS;DISCO;DEGEN;;;
7;14/01/2026;14:40;14/01/2026;14:45;0h 5m;DEGEN;82;ARCUSDT;LONG;;;-0,6937;SL;;;Total;10;13;50;68;;;
8;14/01/2026;18:20;14/01/2026;18:55;0h 35m;DEGEN;82;FARTCOINUSDT;LONG;;;-0,3852;SL;;;Total TP;0;1;21;22;;;
9;14/01/2026;16:33;14/01/2026;19:05;2h 32m;DEGEN;82;1000BONKUSDT;LONG;;;-0,5034;SL;;;Total SL;8;8;13;25;;;
10;14/01/2026;18:56;14/01/2026;21:26;2h 30m;DEGEN;82;ARCUSDT;LONG;;;0,9273;TP;TP1 & TP2 Touchés;;Total BE;1;1;9;14;;;
11;14/01/2026;22:08;14/01/2026;22:19;0h 11m;DEGEN;82;ZENUSDT;LONG;;;0,6499;TP;TP1 & TP2 Touchés;;Total TPDe;0;3;6;2;;;
12;15/01/2026;00:35;15/01/2026;01:20;0h 45m;DEGEN;82;PENGUUSDT;LONG;;;0,5667;TP;TP1 & TP2 Touchés;;Total SLDe;1;0;1;5;;;
14;15/01/2026;07:52;15/01/2026;12:14;4h 22m;DEGEN;82;BEATUSDT;LONG;;;0,326;TP;TP1 Touché;;LONG;8;12;15;23;;;
15;15/01/2026;08:31;15/01/2026;12:15;3h 44m;DEGEN;82;ARCUSDT;LONG;;;0,0953;BE;Dépassement de durée limite;;SHORT;2;1;35;45;;;
17;15/01/2026;18:17;15/01/2026;20:51;2h 34m;DEGEN;82;POLUSDT;LONG;;;0,5562;TP;TP1 & TP2 Touchés;;PnL SHORT;-1,9464;0,3188;4,7739;-2,5443;;;
18;15/01/2026;20:31;15/01/2026;21:28;0h 57m;DEGEN;82;XMRUSDT;LONG;;;0,8259;TP;TP1 & TP2 Touchés;;;;;;;;;
19;15/01/2026;21:19;15/01/2026;22:03;0h 44m;DEGEN;82;MOVEUSDT;LONG;;;0,2265;TP;TP1 Touché;;;;;;;;;
33;17/01/2026;16:55;17/01/2026;17:36;0h 41m;DEGEN;80;SANDUSDT;LONG;;;0,2706;TP;;;;;;;;;;
34;17/01/2026;18:21;17/01/2026;18:24;0h 3m;DEGEN;80;FRAXUSDT;LONG;;;-0,5277;SL;;;;;;;;;;
45;18/01/2026;08:53;18/01/2026;09:31;0h 38m;DEGEN;83;XMRUSDT;SHORT;;;0,467;TPDe;Dépassement de durée limite;;;;;;;;;
46;18/01/2026;09:25;18/01/2026;10:16;0h 51m;DEGEN;75;FOGOUSDT;SHORT;;;-0,6923;SL;;;;;;;;;;
49;18/01/2026;13:38;18/01/2026;14:24;0h 46m;DEGEN;90;SAFEUSDT;SHORT;;;-0,3178;SLDe;Dépassement de durée limite;;;;;;;;;
53;18/01/2026;19:39;18/01/2026;20:47;1h 8m;DEGEN;75;SANDUSDT;SHORT;;;0,1557;BE;Dépassement de durée limite;;;;;;;;;
54;18/01/2026;21:29;19/01/2026;00:23;2h 54m;DEGEN;75;RONUSDT;SHORT;;;-0,7043;SL;;;;;;;;;;
55;19/01/2026;01:56;19/01/2026;02:03;0h 7m;DEGEN;83;BEATUSDT;SHORT;;;0,1154;BE;;;;;;;;;;
56;18/01/2026;20:57;19/01/2026;02:29;5h 32m;DEGEN;80;RAREUSDT;SHORT;;;-1,4666;SL;;;;;;;;;;
58;19/01/2026;02:38;19/01/2026;03:23;0h 45m;DEGEN;80;FUNUSDT;LONG;;;0,9679;TP;TP1 & TP2 Touchés;;;;;;;;;
65;19/01/2026;10:49;19/01/2026;11:32;0h 43m;DEGEN;80;STOUSDT;SHORT;;;0,0591;BE;;;;;;;;;;
66;19/01/2026;11:12;19/01/2026;12:23;1h 11m;DEGEN;90;ACHUSDT;SHORT;;;0,0659;BE;Dépassement de durée limite;;;;;;;;;
67;19/01/2026;12:03;19/01/2026;13:00;0h 57m;DEGEN;90;BERAUSDT;SHORT;;;0,9261;TP;TP1 & TP2 Touchés;;;;;;;;;
68;19/01/2026;13:09;19/01/2026;15:02;1h 53m;DEGEN;75;ASTERUSDT;SHORT;;;0,0664;BE;Dépassement de durée limite;;;;;;;;;
69;19/01/2026;14:40;19/01/2026;15:39;0h 59m;DEGEN;80;PUMPUSDT;SHORT;;;0,0475;BE;Dépassement de durée limite;;;;;;;;;
70;19/01/2026;16:17;19/01/2026;17:30;1h 13m;DEGEN;90;RENDERUSDT;SHORT;;;-0,43;SLDe;Dépassement de durée limite;;;;;;;;;
73;19/01/2026;20:07;19/01/2026;21:46;1h 39m;DEGEN;90;XMRUSDT;SHORT;;;-0,1261;SLDe;Dépassement de durée limite;;;;;;;;;
74;19/01/2026;20:51;19/01/2026;22:02;1h 11m;DEGEN;90;FARTCOINUSDT;SHORT;;;0,0554;BE;Dépassement de durée limite;;;;;;;;;
75;19/01/2026;18:17;19/01/2026;23:09;4h 52m;DEGEN;83;MEUSDT;SHORT;;;0,0208;BE;Dépassement de durée limite;;;;;;;;;
79;20/01/2026;08:11;20/01/2026;09:08;0h 57m;DEGEN;90;MEUSDT;SHORT;;;0,5089;TP;TP1 & TP2 Touchés;;;;;;;;;
80;20/01/2026;09:18;20/01/2026;10:27;1h 9m;DEGEN;83;PUMPUSDT;SHORT;;;0,0903;BE;Dépassement de durée limite;;;;;;;;;
81;20/01/2026;09:40;20/01/2026;10:46;1h 6m;DEGEN;80;ZENUSDT;SHORT;;;0,1813;TP;TP1 Touché;;;;;;;;;
84;20/01/2026;12:10;20/01/2026;12:48;0h 38m;DEGEN;83;SCRTUSDT;SHORT;;;-0,7881;SL;;;;;;;;;;
86;20/01/2026;13:47;20/01/2026;14:19;0h 32m;DEGEN;80;MANAUSDT;LONG;;;-0,4371;SL;;;;;;;;;;
87;20/01/2026;13:27;20/01/2026;14:32;1h 5m;DEGEN;80;FARTCOINUSDT;SHORT;;;-0,4482;SL;;;;;;;;;;
90;20/01/2026;12:21;20/01/2026;15:45;3h 24m;DEGEN;75;XVGUSDT;SHORT;;;0,7475;TP;TP1 & TP2 Touchés;;;;;;;;;
93;20/01/2026;08:19;20/01/2026;16:13;7h 54m;DEGEN;80;PIUSDT;LONG;;;-0,9997;SL;;;;;;;;;;
95;20/01/2026;15:41;20/01/2026;16:53;1h 12m;DEGEN;75;ICPUSDT;SHORT;;;0,0738;BE;Dépassement de durée limite;;;;;;;;;
96;20/01/2026;14:26;20/01/2026;17:17;2h 51m;DEGEN;80;STOUSDT;SHORT;;;0,8883;TP;TP1 & TP2 Touchés;;;;;;;;;
97;20/01/2026;16:40;20/01/2026;18:14;1h 34m;DEGEN;80;ASTERUSDT;SHORT;;;-0,4227;SL;;;;;;;;;;
103;20/01/2026;07:20;20/01/2026;21:07;13h 47m;DEGEN;80;ORDIUSDT;SHORT;;;0,8618;TP;TP1 & TP2 Touchés;;;;;;;;;
108;20/01/2026;21:40;20/01/2026;22:37;0h 57m;DEGEN;75;RESOLVUSDT;SHORT;;;-0,6353;SL;;;;;;;;;;
109;20/01/2026;22:13;20/01/2026;22:39;0h 26m;DEGEN;80;ENAUSDT;SHORT;;;-0,5199;SL;;;;;;;;;;
110;20/01/2026;22:21;21/01/2026;00:10;1h 49m;DEGEN;80;DOLOUSDT;SHORT;;;0,0824;BE;Dépassement de durée limite;;;;;;;;;
112;20/01/2026;19:01;21/01/2026;00:47;5h 46m;DEGEN;90;PROMUSDT;SHORT;;;0,607;TPDe;Dépassement de durée limite;;;;;;;;;
116;21/01/2026;07:54;21/01/2026;08:51;0h 57m;DEGEN;80;HYPEUSDT;SHORT;;;-0,43;SL;;;;;;;;;;
117;21/01/2026;10:30;21/01/2026;11:44;1h 14m;DEGEN;80;FARTCOINUSDT;SHORT;;;-0,4587;SL;;;;;;;;;;
118;21/01/2026;10:02;21/01/2026;13:08;3h 6m;DEGEN;80;XMRUSDT;SHORT;;;-0,2231;SLDe;;;;;;;;;;
120;21/01/2026;17:42;21/01/2026;18:26;0h 44m;DEGEN;80;XMRUSDT;SHORT;;;-0,5783;SL;;;;;;;;;;
121;21/01/2026;18:14;21/01/2026;18:58;0h 44m;DEGEN;90;BERAUSDT;SHORT;;;0,06;BE;Dépassement de durée limite;;;;;;;;;
123;21/01/2026;15:59;21/01/2026;20:12;4h 13m;DEGEN;90;ICPUSDT;SHORT;;;0,5678;TP;TP1 & TP2 Touchés;;;;;;;;;
126;21/01/2026;16:33;21/01/2026;20:22;3h 49m;DEGEN;90;ZENUSDT;SHORT;;;0,5969;TP;TP1 & TP2 Touchés;;;;;;;;;
128;21/01/2026;20:07;21/01/2026;20:59;0h 52m;DEGEN;90;WLFIUSDT;SHORT;;;-0,0063;BE;Dépassement de durée limite;;;;;;;;;
129;21/01/2026;19:43;21/01/2026;20:59;1h 16m;DEGEN;83;ARCUSDT;SHORT;;;-0,725;SL;;;;;;;;;;
130;21/01/2026;19:10;21/01/2026;21:02;1h 52m;DEGEN;80;HYPEUSDT;SHORT;;;-0,1288;SLDe;Dépassement de durée limite;;;;;;;;;
132;21/01/2026;11:03;21/01/2026;22:11;11h 8m;DEGEN;80;DOLOUSDT;SHORT;;;0,4638;TP;TP1 Touché;;;;;;;;;
134;21/01/2026;22:08;21/01/2026;22:31;0h 23m;DEGEN;75;DASHUSDT;SHORT;;;-0,5185;SL;;;;;;;;;;
137;22/01/2026;01:19;22/01/2026;03:27;2h 8m;DEGEN;80;ZECUSDT;SHORT;;;-0,4485;SL;;;;;;;;;;
138;22/01/2026;03:35;22/01/2026;04:05;0h 30m;DEGEN;90;IPUSDT;SHORT;;;-0,8336;SL;PRISE TROP TARD;;;;;;;;;
139;22/01/2026;07:29;22/01/2026;08:15;0h 46m;DEGEN;80;DASHUSDT;SHORT;;;0,6487;TP;;;;;;;;;;
141;22/01/2026;10:10;22/01/2026;11:16;1h 6m;DEGEN;80;PUMPUSDT;LONG;;;-0,5876;SL;;;;;;;;;;
142;22/01/2026;11:16;22/01/2026;11:38;0h 22m;DEGEN;80;HYPEUSDT;LONG;;;-0,469;SL;;;;;;;;;;
3;13/01/2026;17:46;14/01/2026;06:10;12h 24m;MAJORS;85,1;SOLUSDT;LONG;;;3,5848;TP;TP1 & TP2 Touchés;;Total TP;Total SL;Total BE;Total TPDe;Total SLDe;Serait TP;Serait SL;
13;14/01/2026;12:17;15/01/2026;07:55;19h 38m;MAJORS;86,6;SOLUSDT;LONG;;;0,605;TPDe;Dépassement de durée limite;;PnL;-7,119;-7,4471;7,4006;-1,4504;;;
16;15/01/2026;01:42;15/01/2026;17:57;16h 15m;MAJORS;91,7;ETHUSDT;LONG;;;0,3281;TPDe;Dépassement de durée limite;;PnL LONG;-5,1726;-7,7659;2,6267;1,0939;;;
20;15/01/2026;16:11;15/01/2026;23:38;7h 27m;MAJORS;80,7;SOLUSDT;LONG;;;-1,2677;SL;;;;;;;;;;
29;16/01/2026;13:44;17/01/2026;09:35;19h 51m;MAJORS;88,9;ETHUSDT;SHORT;;;0,3188;TPDe;Dépassement de durée limite;;;;;;;;;
62;19/01/2026;07:52;19/01/2026;08:00;0h 8m;MAJORS;81,7;SOLUSDT;LONG;;;-1,73;SL;;;;;;;;;;
64;19/01/2026;07:57;19/01/2026;08:01;0h 4m;MAJORS;91,9;ETHUSDT;LONG;;;-1.2843;SL;;;;;;;;;;
94;20/01/2026;14:20;20/01/2026;16:35;2h 15m;MAJORS;95;ETHUSDT;LONG;;;-1,5827;SL;;;;;;;;;;
111;20/01/2026;16:37;21/01/2026;00:45;8h 8m;MAJORS;85,2;SOLUSDT;LONG;;;-1,8992;SL;;;;;;;;;;
