#;Date E;Heure E;Date S;Heure S;Durée de trade ;Bot;Score;Symbol;Direction;Entry_Prix;Exit_Prix;PnL_Net;Exit_Raison;Notes;Notes 2;Total PnL;PNL Long;PNL Short;Total Long;Total Short;PnL TPDe;PnL SLDe;PnL BE
1;7/2/26;20:11;7/2/26;22:38;2h 27m;DEGEN;80;MSTRUSDT;LONG;;;-0,2106;SLDe;Dépassement du temps limite;;-4,2377;-3,1996;-1,0381;24;16;0;-0,2106;0,6011
2;7/2/26;22:01;7/2/26;23:21;1h 20m;DEGEN;80;BEATUSDT;SHORT;;;0,2452;TP;TP1;;;;;;;;;
3;8/2/26;00:09;8/2/26;00:18;0h 9m;DEGEN;90;FARTCOINUSDT;LONG;;;0,2777;TP;TP1;;13;17;9;0;1;0;0;
4;7/2/26;22:40;8/2/26;00:53;2h 13m;DEGEN;80;HYPEUSDT;SHORT;;;0,8381;TP;TP1 & TP2;;;;;;;;;
5;7/2/26;23:39;8/2/26;03:01;3h 22m;DEGEN;80;AIOUSDT;LONG;;;-1;SL;;;;SWING;MAJORS;DISCO;DEGEN;;;
6;7/2/26;20:10;8/2/26;09:12;13h 2m;DISCOVERY;90;ASTERUSDT;LONG;;;1,3499;TP;TP1 & TP2;;Total;0;0;22;18;;;
7;8/2/26;02:16;8/2/26;12:30;10h 14m;DISCOVERY;80;LDOUSDT;SHORT;;;0,0533;BE;Dépassement du temps limite;;Total TP;0;0;5;8;;;
8;8/2/26;03:03;8/2/26;13:44;10h 41m;DISCOVERY;90;FETUSDT;LONG;;;-0,803;SL;Dépassement du temps limite;;Total SL;0;0;9;8;;;
9;8/2/26;11:18;8/2/26;15:27;4h 9m;DISCOVERY;83,2;RESOLVUSDT;LONG;;;-1,0007;SL;;;Total BE;0;0;8;1;;;
10;7/2/26;22:56;8/2/26;16:04;17h 8m;DISCOVERY;90;TAOUSDT;SHORT;;;0,0633;BE;Dépassement du temps limite;;Total TPDe;0;0;0;0;;;
11;8/2/26;00:15;8/2/26;19:01;18h 46m;DISCOVERY;100;ZECUSDT;LONG;;;-1,0042;SL;Dépassement du temps limite;Aurait du clôturer au dépassement du temps;Total SLDe;0;0;0;1;;;
12;8/2/26;17:40;8/2/26;20:31;2h 51m;DEGEN;90;BREVUSDT;LONG;;;0,5206;TP;TP1;Dépassement du temps limite;LONG;0;0;14;10;;;
13;8/2/26;20:47;8/2/26;22:29;1h 42m;DEGEN;90;SKRUSDT;LONG;;;0,5491;TP;TP1;;SHORT;0;0;8;8;;;
14;7/2/26;23:24;8/2/26;23:16;23h 52m;DISCOVERY;89,2;WLDUSDT;LONG;;;0,0276;BE;Dépassement du temps limite;;PnL SHORT;0;0;-0,1834;-0,8547;;;
15;8/2/26;10:08;8/2/26;23:25;13h 17m;DISCOVERY;80;WLFIUSDT;LONG;;;0,1177;BE;Dépassement du temps limite;;PnL LONG;0;0;-3,3651;0,1655;;;
16;8/2/26;16:59;8/2/26;23:30;6h 31m;DEGEN;90;TAOUSDT;LONG;;;0,2714;TP;TP1;Dépassement du temps limite;PnL;0;0;-3,5485;-0,6892;;;
17;8/2/26;23:09;8/2/26;23:34;0h 25m;DEGEN;83;BIRBUSDT;LONG;;;-0,2039;SL;;;;;;;;;;
18;8/2/26;16:16;8/2/26;23:56;7h 40m;DISCOVERY;85,3;RIVERUSDT;LONG;;;-0,7991;SL;;;;;;;;;;
19;8/2/26;20:43;9/2/26;00:37;3h 54m;DISCOVERY;90;TRUMPUSDT;LONG;;;-0,5824;SL;;;;;;;;;;
20;8/2/26;23:28;9/2/26;00:51;1h 23m;DISCOVERY;80;RENDERUSDT;SHORT;;;0,9169;TP;TP1 & TP2;;;;;;;;;
21;9/2/26;03:18;9/2/26;16:18;13h 0m;DISCOVERY;90;ZECUSDT;SHORT;;;0,9248;TP;;;;;;;;;;
22;9/2/26;13:34;9/2/26;16:32;2h 58m;DEGEN;83;LAUSDT;LONG;;;-0,4072;SL;;;;;;;;;;
23;8/2/26;20:19;9/2/26;16:33;20h 14m;DISCOVERY;87,4;HBARUSDT;LONG;;;-0,6665;SL;;;;;;;;;;
24;9/2/26;14:01;9/2/26;19:57;5h 56m;DISCOVERY;90;XMRUSDT;LONG;;;-0,7702;SL;;;;;;;;;;
25;9/2/26;20:35;9/2/26;23:23;2h 48m;DEGEN;80;ARCUSDT;LONG;;;-0,772;SL;;;;;;;;;;
26;9/2/26;20:41;10/2/26;00:45;4h 4m;DISCOVERY;92,2;TAOUSDT;SHORT;;;0,0479;BE;;;;;;;;;;
27;10/2/26;00:40;10/2/26;03:03;2h 23m;DISCOVERY;100;ASTERUSDT;SHORT;;;-1,2763;SL;;;;;;;;;;
28;9/2/26;23:36;10/2/26;08:48;9h 12m;DEGEN;80;MUSDT;LONG;;;1,1404;TP;TP1 & TP2;;;;;;;;;
29;10/2/26;00:18;10/2/26;11:05;10h 47m;DISCOVERY;82,2;BCHUSDT;LONG;;;0,2323;TP;TP1;;;;;;;;;
